date;hour;km;time;pace;lat_start;long_start;lat_finish;long_finish
2021-03-10;04:28;32;159;12.1;51.09474018;4.45949725;50.96148408;4.05830285
2021-03-10;00:41;62;503;7.4;50.74815343;3.71893119;50.92527725;4.55716298
2020-05-08;02:35;51;383;8;51.09965379;3.93147915;50.83493135;4.52061492
2021-06-09;01:45;34;166;12.3;51.023067;4.87731631;50.78155553;4.58628015
2021-08-24;21:09;75;608;7.4;51.08087354;4.94698559;50.58140374;4.23305623
2021-05-16;13:44;89;509;10.5;50.58994381;3.64807651;51.12007504;4.59579037
2021-07-18;05:24;37;222;10;50.74124576;4.29060919;50.87061576;4.77326434
2020-11-24;05:17;45;255;10.6;50.60860148;4.90902376;50.78245816;4.33460996
2020-09-26;14:58;45;293;9.2;51.06574766;4.37357226;50.97157626;4.99613492
2021-03-30;21:02;56;501;6.7;50.9870664;4.62340427;50.79687578;3.88916697
2020-11-17;03:16;36;292;7.4;50.56153334;4.34049964;50.65522045;3.84872684
2020-08-30;02:23;81;648;7.5;50.87555271;4.76437896;50.56379823;3.72311655
2021-04-29;13:00;42;277;9.1;51.11878508;3.9828378;50.74226715;3.99936673
2020-12-30;06:48;5;28;10.9;51.15142502;3.83612477;51.16487018;3.90008119
2021-06-26;18:50;46;368;7.5;50.62922987;4.76474828;50.82913048;4.19953932
2020-07-26;03:57;9;43;12.7;50.70521647;4.86139385;50.6848337;4.98161173
2020-06-10;00:17;55;324;10.2;50.76952393;4.04977828;50.73214634;4.83217432
2020-06-22;09:24;97;458;12.7;50.81991302;3.58725292;51.11824216;4.88917569
2020-09-01;22:53;88;528;10;50.73921382;3.76990031;50.54954381;4.97529188
2020-06-19;03:01;50;349;8.6;50.64272682;4.36937524;50.87891623;4.96539056
2021-02-26;09:46;47;282;10;50.77069254;3.76994274;50.75553047;4.4406465
2021-08-21;01:43;66;550;7.2;50.56643658;4.23215295;51.15510215;4.07736649
2021-07-16;15:48;70;375;11.2;50.63074198;4.74341139;50.9807305;3.92547896
2020-05-21;09:25;53;342;9.3;50.95659048;4.19405933;50.99494729;4.94811916
2020-06-19;09:43;8;61;7.9;50.60579214;3.58316419;50.67770804;3.62217713
2021-05-29;16:59;72;351;12.3;50.89917071;3.78791994;51.10428048;4.76824478
2020-12-10;11:33;53;284;11.2;50.9179211;4.17471972;50.5561459;3.68208005
2021-08-30;00:44;45;297;9.1;51.03066879;3.92681449;51.07833192;4.56661693
2020-10-21;13:57;28;267;6.3;51.03311253;4.81041967;50.78055991;4.86429152
2020-12-10;23:36;51;268;11.4;51.06813303;3.9002115;51.16862152;4.61464328
2021-01-15;11:09;85;436;11.7;50.9939382;3.58275007;50.87556252;4.78268552
2020-08-28;20:14;30;212;8.5;50.67638798;4.64632141;50.8839872;4.37551916
2021-04-25;01:49;62;581;6.4;50.72208015;4.79937753;50.79297319;3.92971917
2020-07-27;17:52;62;365;10.2;51.17100462;4.8043236;51.1035032;3.92543008
2020-05-11;10:58;24;209;6.9;51.10777407;4.82737977;51.15401533;4.49839001
2021-08-02;21:20;86;846;6.1;51.06641291;3.71567889;51.07569946;4.94489927
2021-02-14;08:17;26;177;8.8;50.57457757;4.05483728;50.74640275;4.30521577
2020-12-27;02:27;19;152;7.5;50.74055892;4.27750348;50.87818338;4.10816661
2020-09-17;00:18;63;320;11.8;51.11033767;4.01858229;50.56416087;3.75824017
2020-06-09;16:02;32;320;6;50.86671676;3.80555483;50.97571918;4.22753148
2021-07-01;22:07;35;186;11.3;50.98234899;4.02869995;50.73062523;4.31538064
2020-06-09;21:54;52;325;9.6;51.05420018;4.0480468;50.59206899;4.10668887
2020-10-14;22:45;24;125;11.5;50.84264841;4.1216723;50.69432554;3.87546956
2021-03-08;22:37;21;104;12.1;50.90963847;4.66400546;50.97710768;4.38034768
2020-08-09;05:35;30;159;11.3;50.77095651;3.71800871;50.56571069;3.98598516
2020-08-15;13:37;43;248;10.4;50.59783746;4.04214216;50.91077006;4.40015121
2020-08-07;11:22;62;365;10.2;51.0699199;4.18580827;50.61600824;3.67303576
2021-03-05;01:32;61;293;12.5;51.05524715;4.74212583;50.96079017;3.88049168
2020-11-26;08:44;54;303;10.7;50.95787512;4.51816186;50.95920298;3.74948134
2021-05-27;16:53;60;409;8.8;50.54849099;4.94561271;51.00167959;4.49539589
2020-09-28;16:02;46;249;11.1;51.10172116;3.74233265;51.05280377;4.38803582
2020-06-07;08:11;32;229;8.4;50.93283884;4.25879141;50.99667969;3.81168668
2021-04-23;02:21;69;391;10.6;51.12927676;3.98728499;51.11136973;4.96958856
2021-04-22;00:51;52;351;8.9;50.65787908;4.33766598;50.99080361;3.8096281
2020-05-15;16:41;45;260;10.4;50.73839256;4.2512336;51.14091543;4.33270226
2021-04-06;13:28;32;206;9.3;50.74779265;4.18164624;50.83222695;3.74046511
2020-08-13;05:56;20;128;9.4;50.88272223;3.72369291;50.84298895;4.00614689
2021-04-18;22:26;42;263;9.6;50.91336876;3.61569277;51.07147703;4.1567487
2020-11-25;08:39;66;501;7.9;50.67817636;4.07425429;51.08597735;4.75580707
2021-08-22;16:54;66;350;11.3;50.55794559;4.66993616;51.15009738;4.54414035
2021-04-14;03:12;54;484;6.7;51.05825714;3.81872563;50.75564094;4.41218194
2020-09-22;00:10;96;480;12;50.54854896;5.04396389;51.16153297;4.09204942
2021-04-26;12:18;46;329;8.4;50.99784609;4.29558291;50.69411513;3.85403874
2020-09-20;19:24;9;84;6.4;50.96352682;4.256512;50.89209891;4.32775207
2021-04-24;16:45;53;292;10.9;51.04127971;4.04743554;50.65622425;3.59259073
2021-07-09;06:02;56;560;6;50.7285171;4.74000987;51.07946709;4.16656395
2020-09-06;00:48;55;262;12.6;50.85023809;3.77937767;50.56149858;4.40415241
2020-07-22;03:58;58;527;6.6;50.70883955;4.46325131;50.6285213;3.65625895
2021-07-04;08:07;10;48;12.6;50.65784654;4.77518419;50.59191737;4.87731981
2020-07-22;00:53;13;61;12.8;50.58735263;4.76620171;50.67115033;4.89580691
2021-02-18;14:14;60;321;11.2;50.57217111;4.24733032;50.88986073;3.56577307
2021-04-23;10:33;23;166;8.3;50.97377539;4.79362263;50.85436202;4.53429233
2020-11-29;16:40;45;233;11.6;51.06249228;3.57498676;50.72742853;3.94385526
2021-05-01;15:42;51;329;9.3;50.60577379;4.31651941;51.04112312;4.08816694
2021-08-29;02:23;27;225;7.2;50.99949038;4.01754352;51.12569489;4.33953426
2020-09-04;00:22;36;296;7.3;50.89038709;4.54818516;50.62648451;4.25641638
2021-05-29;18:48;42;200;12.6;51.08952086;4.09510142;50.80689081;4.48445939
2020-09-06;08:40;89;752;7.1;51.16700573;3.6921922;51.02436989;4.94077651
2020-11-01;00:50;29;136;12.8;50.60125599;4.40068726;50.85712795;4.44125775
2020-06-15;05:15;66;495;8;50.54663128;4.11394956;51.04906195;3.61383939
2021-03-16;06:10;68;480;8.5;51.10590714;4.03523035;50.60710448;4.5991443
2021-07-14;22:31;34;314;6.5;50.63338229;4.02445114;50.85640008;3.68816617
2020-06-14;01:23;55;292;11.3;50.56229436;4.12276962;51.02539671;3.86956741
2020-05-25;18:16;60;288;12.5;50.98986758;4.4499166;50.58792637;3.88137407
2021-01-30;06:28;23;114;12.1;50.84866155;4.33995091;50.76487726;4.03399083
2020-11-09;02:36;40;250;9.6;50.97071211;4.77947234;50.61959485;4.90806089
2020-05-18;03:20;57;364;9.4;50.58975252;3.84346461;50.82233403;4.55650508
2020-07-30;15:22;62;392;9.5;50.85752223;4.65894842;50.96312504;3.78644858
2020-11-22;11:17;86;707;7.3;50.87446096;3.60130401;50.98685287;4.80779439
2021-07-21;09:29;30;168;10.7;50.59442603;3.95903445;50.6572066;4.36631117
2021-06-19;12:18;51;340;9;50.93863377;4.68979566;51.09017565;4.01103788
2020-12-18;20:40;69;690;6;50.86369317;4.5984174;50.61117661;3.69822687
2021-05-12;14:51;29;229;7.6;50.95468987;4.57555017;50.808042;4.24337782
2021-02-14;23:10;37;176;12.6;50.71128047;4.21781211;50.93766382;4.61091475
2020-12-10;06:20;3;28;6.4;51.02392932;3.92924688;50.99961065;3.95928987
2021-04-12;22:51;46;307;9;51.15208998;4.34245804;50.90237579;4.86358248
2020-05-15;09:55;34;319;6.4;50.85030934;3.77188251;50.62861406;4.10028299
2021-04-10;03:09;65;302;12.9;51.066857;3.71724508;51.10886318;4.63694477
2020-08-01;04:02;36;177;12.2;50.76880321;4.68542834;50.76686363;4.18141477
2021-07-09;17:45;17;95;10.7;51.02392932;3.92924688;51.12838672;4.1015545
2020-07-05;22:53;67;670;6;51.15208998;4.34245804;50.71714798;3.67303495
2021-09-27;00:41;15;107;8.4;50.85030934;3.77188251;50.90817706;3.57511491
